GeneSymbol,log2FoldChange,pvalue,padj
CLDN17,,,
CLDN8,,,
TSPAN7,-0.62,0.898065,1.000000
TIAM1,0.10,0.984225,1.000000
SCAF4,0.19,0.018243,0.305371
RPGR,-0.05,0.658048,1.000000
CDK20,0.06,0.499951,1.000000
PCGF6,0.05,0.710985,1.000000
ANKRD9,0.33,0.006536,0.140476
SFR1,-0.13,0.339650,1.000000
SORCS3,,,
SFXN2,-0.16,0.190330,1.000000
C14orf2,0.19,0.191726,1.000000
FUT6,-2.68,0.075165,0.757139
TDRD9,0.28,0.689115,1.000000
FGF18,0.09,0.910471,1.000000
PCDH1,0.00,1.000000,1.000000
SH3RF2,0.00,1.000000,1.000000
GDF6,-0.62,0.915097,1.000000
UQCRB,0.30,0.077831,0.769248
MTERF3,-0.07,0.450010,1.000000
PTDSS1,0.03,0.642361,1.000000
PPP2R2B,0.00,1.000000,1.000000
RPL30,0.03,0.834242,1.000000
KCNS2,-1.71,0.274025,1.000000
FAM122C,-0.27,0.113880,0.936186
SUPV3L1,0.15,0.026250,0.395021
FAM122B,-0.12,0.061804,0.684153
EEF1A1,0.07,0.492118,1.000000
FBXO43,-0.32,0.082119,0.794545
HKDC1,0.00,1.000000,1.000000
HK1,0.78,0.000000,0.000000
TYSND1,0.15,0.261864,1.000000
PHF6,0.05,0.480546,1.000000
CD109,-0.20,0.039370,0.521710
LRFN2,,,
NODAL,0.38,0.722089,1.000000
PRG3,0.57,0.753639,1.000000
UBE2L6,-0.41,0.031264,0.445949
ZDHHC5,0.14,0.002097,0.057612
MED19,-0.02,0.851648,1.000000
ZFAND3,0.05,0.592969,1.000000
NPTN,-0.02,0.703895,1.000000
KAT6B,0.06,0.597462,1.000000
SAMD8,0.35,0.011979,0.222738
RAB11FIP1,0.67,0.000000,0.000000
UNC5D,,,
GLYATL2,,,
UTP14A,0.14,0.099011,0.873871
AIFM1,0.09,0.131262,0.995841
MAPK13,0.92,0.000000,0.000000
BAG4,0.16,0.025459,0.386964
MS4A1,1.10,0.649597,1.000000
IGKV1OR-2,,,
TBC1D31,0.06,0.598061,1.000000
WDYHV1,-0.08,0.471805,1.000000
ATAD2,-0.06,0.486104,1.000000
FBXO32,-0.29,0.323785,1.000000
NSMCE2,0.06,0.655136,1.000000
ZNF689,-0.02,0.780774,1.000000
PRR14,0.12,0.108057,0.914151
FBRS,0.02,0.745033,1.000000
FRRS1,0.29,0.001730,0.048821
PHKG2,0.20,0.016528,0.283092
MFSD14A,-0.07,0.733448,1.000000
SASS6,0.03,0.656135,1.000000
COX6A2,,,
ITGAD,-1.30,0.826710,1.000000
ADGRG4,0.82,0.872851,1.000000
ZIC3,,,
MALSU1,-0.08,0.440865,1.000000
VPS8,0.14,0.054380,0.634771
GALK2,0.04,0.692884,1.000000
LHFPL4,0.82,0.874731,1.000000
B3GNT7,-0.13,0.411220,1.000000
MPV17L,0.21,0.037075,0.499769
BUB1B,0.10,0.132072,0.997401
PDE6D,-0.09,0.340397,1.000000
EIF4A2,0.00,0.997967,1.000000
BRPF1,-0.12,0.067195,0.717004
RPUSD3,-0.12,0.183877,1.000000
SST,,,
TATDN2,0.00,0.952273,1.000000
GHRL,-0.92,0.260210,1.000000
SEC13,-0.01,0.925729,1.000000
FAM92A1P1,0.19,0.494669,1.000000
EXOG,0.00,0.985494,1.000000
NTAN1,0.02,0.770835,1.000000
SHCBP1L,,,
NMNAT2,0.81,0.000000,0.000000
ZFYVE9,-0.14,0.127558,0.982466
ATP2B2,1.51,0.352542,1.000000
LYZL4,,,
SLC6A1,,,
SMG1,0.04,0.708985,1.000000
FCHO2,-0.06,0.560218,1.000000
RBPMS,-0.41,0.337225,1.000000
TMEM171,0.69,0.514544,1.000000
KLHL40,,,
C8A,,,
TIMP4,-0.51,0.905942,1.000000
SYN2,0.62,0.315281,1.000000
NRG1,0.82,0.889736,1.000000
C1orf27,0.01,0.904927,1.000000
CPT2,-0.01,0.938401,1.000000
NECAP2,-0.02,0.766586,1.000000
LRP8,0.25,0.009301,0.185568
CDCP2,,,
PAXIP1,-0.03,0.754010,1.000000
STEAP2,-0.62,0.887892,1.000000
SSBP3,-0.57,0.000000,0.000000
HTR5A,,,
CLDN12,-0.06,0.387772,1.000000
MMP14,-0.33,0.000000,0.000000
FZD1,-0.02,0.856928,1.000000
GATAD1,0.00,0.982235,1.000000
SUSD3,0.32,0.007995,0.165592
RP11-66N24.4,0.03,0.939727,1.000000
TMED6,-0.06,0.858808,1.000000
CLEC18A,0.82,0.728834,1.000000
DHRS4,-0.13,0.318977,1.000000
C1orf158,0.82,0.889736,1.000000
CLEC18C,,,
ARMC12,0.45,0.356237,1.000000
DDX19B,0.04,0.734153,1.000000
ST3GAL2,-0.35,0.000010,0.000531
FUK,0.00,0.988650,1.000000
IL34,0.00,1.000000,1.000000
DHRS1,-0.16,0.219458,1.000000
CACNA1D,0.86,0.302249,1.000000
ARSE,0.38,0.855733,1.000000
KIT,-1.18,0.610559,1.000000
HYDIN,-1.49,0.302971,1.000000
AASDH,0.05,0.627757,1.000000
ZNF19,-0.78,0.026294,0.395497
CACNA2D3,-0.71,0.000000,0.000022
RNF111,0.02,0.831010,1.000000
CCNB2,-0.05,0.420801,1.000000
FAM81A,0.31,0.062211,0.687062
MYO1E,-0.02,0.915900,1.000000
APPL1,0.17,0.011438,0.215058
MUM1L1,,,
AFAP1L1,-0.30,0.305651,1.000000
TSC22D3,-0.11,0.730888,1.000000
DSCR3,0.14,0.001121,0.034082
DYRK1A,0.00,0.974176,1.000000
KCNJ6,0.82,0.889736,1.000000
KCNJ15,-0.41,0.940388,1.000000
ERG,1.55,0.158629,1.000000
ETS2,-0.30,0.005220,0.118003
TSPAN18,3.17,0.590170,1.000000
LCA5L,-0.57,0.119722,0.954322
SLC35B2,-0.12,0.210260,1.000000
TMEM164,-0.13,0.032967,0.461466
MX1,-0.14,0.335919,1.000000
CREB3L1,-0.10,0.656015,1.000000
C2CD2,-0.07,0.595762,1.000000
TAB3,0.04,0.672425,1.000000
SLC38A10,-0.11,0.030685,0.439855
C9orf43,-0.17,0.707776,1.000000
PALM2-AKAP2,-0.19,0.016834,0.287616
ZNF618,-0.15,0.089590,0.830805
DGKI,0.00,1.000000,1.000000
TMEM268,0.13,0.528176,1.000000
SVOPL,-0.62,0.917250,1.000000
SNX22,0.34,0.388400,1.000000
UBN2,0.00,0.993161,1.000000
BRAF,0.04,0.593061,1.000000
SLC34A2,-0.24,0.956428,1.000000
ACAN,-0.62,0.917250,1.000000
PSMG3,0.00,0.984067,1.000000
CABP1,0.38,0.715809,1.000000
WDR19,-0.11,0.345763,1.000000
SLC37A3,0.04,0.917172,1.000000
AP3S2,-0.12,0.270789,1.000000
FMNL2,-0.49,0.047266,0.585568
GAREM2,-0.16,0.094346,0.854598
SPPL3,0.04,0.573856,1.000000
DPYSL5,-1.91,0.269503,1.000000
DRC1,-1.69,0.126629,0.980024
RAB28,-0.06,0.595631,1.000000
FAM213B,-0.15,0.310264,1.000000
TNFRSF14,0.12,0.534373,1.000000
PANK4,0.00,0.987735,1.000000
CIB4,,,
MEGF11,0.30,0.669654,1.000000
C12orf43,0.08,0.457799,1.000000
PEX10,-0.09,0.476824,1.000000
RER1,0.07,0.128646,0.986072
RADIL,-0.40,0.112667,0.931931
SKI,-0.11,0.160278,1.000000
WIPI2,-0.07,0.123927,0.968899
SSX8,,,
LDLRAP1,0.00,0.943368,1.000000
AGAP1,-0.10,0.461982,1.000000
KRTCAP3,0.29,0.660540,1.000000
ANKRD61,0.06,0.864480,1.000000
PAFAH2,0.23,0.014370,0.255334
EXTL1,-2.36,0.107083,0.910515
SLC30A2,-0.62,0.904816,1.000000
BRE,-0.12,0.140021,1.000000
TRIM63,1.21,0.256008,1.000000
WDR66,-0.43,0.369514,1.000000
MRPL17,-0.08,0.550410,1.000000
DUSP2,-0.43,0.011370,0.214320
GRHL3,0.02,0.979514,1.000000
UBXN11,0.55,0.000000,0.000026
NLRP14,0.53,0.669600,1.000000
PTPDC1,0.00,0.965834,1.000000
GALNT14,,,
NCK1,0.10,0.328406,1.000000
HPD,0.58,0.161016,1.000000
RHPN1,-0.50,0.023951,0.370464
TPRG1L,-0.12,0.256655,1.000000
LRRC43,-0.16,0.644371,1.000000
AAED1,0.00,0.980220,1.000000
XDH,-1.26,0.831882,1.000000
XKR8,0.64,0.000002,0.000127
CNNM4,0.04,0.673437,1.000000
EYA3,0.14,0.110018,0.921956
DZIP1L,-0.32,0.119774,0.954322
TMSB15A,1.65,0.130830,0.994645
FANCC,-0.10,0.183154,1.000000
MRAS,0.49,0.000000,0.000000
WASF2,-0.04,0.404463,1.000000
ABHD3,-0.16,0.004970,0.113664
ESYT3,-0.72,0.017069,0.290247
FAIM,0.12,0.416671,1.000000
FAM46B,-0.41,0.166218,1.000000
CLSTN2,-0.24,0.028311,0.415077
COLEC12,0.82,0.889736,1.000000
RNF207,-0.41,0.384288,1.000000
CUL4B,0.01,0.792884,1.000000
GPR153,-0.26,0.094733,0.856171
SLC13A3,-0.07,0.897723,1.000000
GPRASP2,0.14,0.268894,1.000000
RHBDL2,0.00,0.997477,1.000000
AUTS2,-2.27,0.240554,1.000000
SHROOM4,-0.92,0.271420,1.000000
HIST1H2BD,0.41,0.135966,1.000000
CDC25C,-0.03,0.838811,1.000000
HIST1H4H,-0.53,0.166123,1.000000
MITD1,-0.03,0.708511,1.000000
EIF5B,-0.01,0.939343,1.000000
RIBC1,0.86,0.054031,0.632852
TMSB15B,-0.98,0.485596,1.000000
CATIP,0.59,0.503198,1.000000
CNOT11,0.15,0.001191,0.035858
KCNB1,-0.39,0.793921,1.000000
TSPAN33,0.07,0.713133,1.000000
NRG2,1.81,0.012001,0.222958
AHCYL2,-0.05,0.572973,1.000000
B4GALT5,0.34,0.000082,0.003533
CD1D,0.67,0.000001,0.000053
CD1A,0.79,0.894417,1.000000
SPATA2,0.00,0.998260,1.000000
CD1C,,,
SNX29P1,2.55,0.659349,1.000000
FAM86C1,-0.13,0.461094,1.000000
CD1B,,,
DNAH3,-0.04,0.964563,1.000000
CD1E,,,
HMHB1,0.60,0.669254,1.000000
CPA2,-1.61,0.302828,1.000000
NCF1,2.33,0.000000,0.000000
CPA5,-0.62,0.917250,1.000000
TSR2,0.00,0.976657,1.000000
PPP1R9A,0.00,1.000000,1.000000
ZC3H18,0.06,0.306318,1.000000
ZFAND2B,-0.09,0.401689,1.000000
POM121L2,-3.05,0.012479,0.230023
GDPD5,0.32,0.007274,0.153445
DYNC1I1,1.27,0.431302,1.000000
PFKFB1,1.06,0.266833,1.000000
ALAS2,-1.81,0.456188,1.000000
TMED4,0.02,0.747503,1.000000
PPP1R15B,0.07,0.294992,1.000000
COPG2,-0.09,0.161217,1.000000
EMSY,-0.02,0.824733,1.000000
PAGE5,,,
GPAT4,-0.03,0.645946,1.000000
PKD1L1,-1.33,0.476585,1.000000
ZSCAN12,0.15,0.114132,0.937027
TAGLN2,-0.15,0.045501,0.571980
ELK4,0.04,0.683940,1.000000
SLAMF8,-0.50,0.728839,1.000000
SLC45A3,0.22,0.186392,1.000000
DUSP23,0.12,0.363866,1.000000
RNF166,0.11,0.111316,0.927861
OR10J6P,,,
NBL1,-0.34,0.047387,0.586330
HTR6,-1.24,0.645036,1.000000
ITLN2,,,
F11R,0.08,0.224875,1.000000
USF1,0.02,0.685676,1.000000
PLA2G2F,1.26,0.832598,1.000000
SPATA2L,-0.20,0.115660,0.941651
NIT1,-0.25,0.003676,0.089817
DEDD,-0.08,0.201134,1.000000
ZNF276,0.17,0.082268,0.795262
NPM2,-0.07,0.734181,1.000000
EDA,0.00,1.000000,1.000000
FGF17,0.50,0.217445,1.000000
VWA5B1,,,
CDA,1.22,0.000000,0.000000
PINK1,-0.18,0.036101,0.492299
B4GALT3,-0.16,0.003512,0.086475
DMTN,-0.60,0.156668,1.000000
ADAMTS4,0.35,0.150094,1.000000
FAM160B2,0.00,0.980756,1.000000
NDUFS2,0.08,0.204157,1.000000
SLC5A11,1.95,0.150694,1.000000
FCER1G,-0.30,0.004673,0.108049
APOA2,0.25,0.762538,1.000000
TOMM40L,0.53,0.000000,0.000000
MPZ,-0.21,0.023968,0.370464
WFDC8,,,
CCAR2,0.04,0.483589,1.000000
WNT9B,0.00,1.000000,1.000000
CACHD1,0.14,0.966893,1.000000
CDC42SE2,0.00,0.985782,1.000000
RAPGEF6,0.02,0.833123,1.000000
EPB41,0.04,0.592487,1.000000
MIS18A,-0.02,0.843024,1.000000
ALG8,0.04,0.739886,1.000000
FBXW5,0.05,0.459693,1.000000
C21orf59,-0.09,0.398385,1.000000
SYNJ1,0.07,0.391698,1.000000
PAXBP1,0.04,0.677912,1.000000
IFNAR2,0.35,0.071253,0.737652
MRPL10,0.04,0.610414,1.000000
IFNGR2,0.24,0.000196,0.007611
GART,0.01,0.785492,1.000000
SON,0.03,0.771097,1.000000
DONSON,0.29,0.000010,0.000544
SV2A,0.26,0.000848,0.027217
LAD1,,,
STC1,0.82,0.878852,1.000000
TNNI1,-0.12,0.975633,1.000000
CSRP1,0.06,0.352273,1.000000
PRAC1,1.64,0.675212,1.000000
HOXB13,-0.42,0.117340,0.948215
AC007383.6,-0.35,0.723770,1.000000
C1QC,0.00,1.000000,1.000000
KCNE2,0.82,0.727371,1.000000
ATP5G1,0.19,0.148392,1.000000
RCAN1,0.13,0.089538,0.830805
UBE2Z,-0.04,0.413176,1.000000
CIART,1.37,0.053288,0.628397
SNF8,-0.06,0.423251,1.000000
CLIC6,0.12,0.473786,1.000000
CCDC24,-0.29,0.452505,1.000000
RUNX1,-0.12,0.081092,0.789353
IGF2BP1,0.02,0.850012,1.000000
GIP,,,
CBR1,0.13,0.172255,1.000000
CBR3,1.32,0.005642,0.125216
C2orf81,0.00,1.000000,1.000000
TUBBP5,-1.26,0.443407,1.000000
GJD2,,,
ACTC1,-0.35,0.589502,1.000000
MORC3,0.00,0.977070,1.000000
CHAF1B,-0.18,0.013501,0.243475
CLDN14,,,
SIM2,0.11,0.726830,1.000000
HLCS,-0.03,0.787005,1.000000
GOLGA6A,0.10,0.984673,1.000000
SCUBE1,0.13,0.191589,1.000000
ARHGAP27,0.08,0.233279,1.000000
ADPGK,0.02,0.661101,1.000000
PTMS,0.03,0.715263,1.000000
PLA2G4D,0.78,0.724949,1.000000
PADI4,0.66,0.405946,1.000000
ADIPOR1,-0.08,0.089625,0.830887
CYB5R1,-0.07,0.403997,1.000000
PSMD4,-0.04,0.547751,1.000000
ATP13A2,0.00,0.970910,1.000000
M1AP,-0.37,0.565396,1.000000
PSMB4,0.05,0.554818,1.000000
IRX6,2.15,0.047561,0.587123
BTG2,-0.34,0.001230,0.036689
CES5A,-0.27,0.927460,1.000000
HK2,0.31,0.003565,0.087606
C1R,0.41,0.447359,1.000000
CELF3,-0.49,0.668986,1.000000
ALDH4A1,0.01,0.960309,1.000000
STARD9,0.09,0.511139,1.000000
THEM4,-0.02,0.805043,1.000000
TCHH,-0.38,0.007026,0.149134
LCE2B,,,
UBR1,0.06,0.516861,1.000000
AMFR,-0.02,0.730948,1.000000
MED8,0.05,0.582821,1.000000
TGM7,,,
RGL4,-0.87,0.360612,1.000000
SPRR2G,,,
PGLYRP3,-0.62,0.905946,1.000000
ISL2,-0.18,0.391843,1.000000
RSPRY1,0.03,0.665106,1.000000
CCDC17,-0.17,0.646412,1.000000
GPBP1L1,-0.07,0.063275,0.694103
NAE1,-0.07,0.448726,1.000000
TMEM69,-0.16,0.025874,0.391695
ADGRG5,-1.11,0.000000,0.000000
DRC7,0.64,0.383136,1.000000
ACE,-0.79,0.140453,1.000000
TEPP,2.12,0.262955,1.000000
UROC1,1.40,0.294305,1.000000
EFCAB14,0.05,0.374953,1.000000
SPON2,-0.14,0.289304,1.000000
CHCHD6,-0.02,0.912186,1.000000
CTBP1,-0.05,0.250326,1.000000
LRRC36,0.82,0.889736,1.000000
ANKRD18CP,0.10,0.966547,1.000000
TPPP3,-0.65,0.881272,1.000000
ZDHHC1,-0.54,0.177265,1.000000
ATP6V0D1,0.19,0.005299,0.119293
AGRP,-0.76,0.859094,1.000000
ZFYVE28,-0.01,0.987870,1.000000
CARMIL2,-0.19,0.519168,1.000000
C16orf86,0.16,0.558717,1.000000
PIP,,,
FAM131B,-0.34,0.405139,1.000000
RGS12,-0.18,0.038640,0.514212
PSKH1,-0.02,0.748655,1.000000
ZYX,-0.13,0.026951,0.401839
ABR,0.05,0.383700,1.000000
TCAF2P1,-0.38,0.781543,1.000000
LYPD5,0.49,0.463366,1.000000
CCDC117,-0.08,0.442471,1.000000
ZNF230,0.06,0.626051,1.000000
CCDC107,-0.31,0.476262,1.000000
ZNF222,0.00,0.975678,1.000000
NPR2,-0.38,0.441041,1.000000
ZNF890P,2.55,0.120364,0.956792
ZNF221,-0.02,0.948269,1.000000
ZNF233,0.12,0.721477,1.000000
ZNF235,0.18,0.202712,1.000000
GNE,0.02,0.769126,1.000000
TNFRSF13C,0.25,0.049131,0.598047
OR3A3,,,
ARHGAP35,0.02,0.819018,1.000000
PTGIR,0.05,0.864138,1.000000
CALM3,-0.03,0.603994,1.000000
DFFA,0.05,0.420881,1.000000
CCDC28B,0.03,0.882036,1.000000
IQCC,-0.37,0.012428,0.229417
TMEM234,-0.46,0.015678,0.272009
BSDC1,-0.09,0.173709,1.000000
ZBTB8A,-0.18,0.392868,1.000000
ATAD3B,0.14,0.147547,1.000000
SSU72,0.04,0.497157,1.000000
UBE2J2,0.07,0.241868,1.000000
ZNF362,-0.11,0.205136,1.000000
FNDC5,0.09,0.873411,1.000000
CPAMD8,0.00,0.995919,1.000000
NR2F6,0.18,0.039699,0.524776
ANKLE1,0.66,0.000000,0.000000
CCDC58,0.41,0.006381,0.138020
VMA21,-0.08,0.128188,0.984479
KALRN,2.19,0.134083,1.000000
CILP2,-0.07,0.536163,1.000000
FAM86C2P,0.23,0.235044,1.000000
ABCG1,-0.05,0.935824,1.000000
TFF3,0.00,1.000000,1.000000
TFF2,,,
TFF1,,,
TMPRSS3,0.10,0.978141,1.000000
UBASH3A,0.00,1.000000,1.000000
RSPH1,-1.07,0.069059,0.727173
SLC37A1,-0.38,0.000001,0.000052
PDE9A,0.30,0.004460,0.104424
WDR4,0.06,0.569786,1.000000
NDUFV3,0.23,0.001003,0.031354
PKNOX1,-0.02,0.774761,1.000000
CBS,0.32,0.205537,1.000000
U2AF1,-0.16,0.696668,1.000000
CRYAA,,,
HSF2BP,-0.19,0.467245,1.000000
RRP1B,0.06,0.349570,1.000000
PDXK,-0.03,0.674505,1.000000
G6PD,0.16,0.076838,0.765088
CSTB,0.05,0.604728,1.000000
RRP1,0.02,0.792294,1.000000
AGPAT3,0.01,0.827215,1.000000
TRAPPC10,0.23,0.024295,0.374888
GAB3,0.08,0.395243,1.000000
C21orf33,-0.32,0.561297,1.000000
ICOSLG,-0.56,0.121895,0.961407
AIRE,-1.98,0.305617,1.000000
C21orf2,-0.22,0.015278,0.267677
ZNF66,0.06,0.771539,1.000000
LRRC3,-0.39,0.001432,0.041824
ITGB2,1.04,0.000000,0.000000
FAM207A,-0.01,0.954491,1.000000
RALGDS,0.01,0.947732,1.000000
FTCD,-0.02,0.975052,1.000000
SPATC1L,-0.29,0.000034,0.001583
LSS,-0.11,0.118495,0.951071
VAV2,0.07,0.464220,1.000000
MCM3AP,0.04,0.625858,1.000000
C21orf58,-0.16,0.160468,1.000000
PCNT,-0.08,0.337073,1.000000
DIP2A,-0.05,0.611803,1.000000
S100B,-0.50,0.464558,1.000000
PRMT2,-0.17,0.021811,0.347719
CLDND2,0.07,0.862117,1.000000
ZNF208,0.82,0.783280,1.000000
ADAMTS13,-0.13,0.731431,1.000000
CACFD1,0.02,0.953104,1.000000
SLC2A6,-0.06,0.701862,1.000000
ZNF761,0.04,0.629455,1.000000
FCN2,,,
C9orf116,0.20,0.629642,1.000000
LCN1,,,
ZNF714,0.12,0.425930,1.000000
GPSM1,-0.18,0.134675,1.000000
C19orf47,0.02,0.827839,1.000000
HIPK4,0.10,0.977126,1.000000
CFAP157,-0.16,0.634377,1.000000
TOR2A,0.23,0.018638,0.309769
ST6GALNAC6,0.92,0.127361,0.982370
SHKBP1,-0.02,0.816037,1.000000
RDH13,0.48,0.000087,0.003696
ZER1,-0.01,0.935283,1.000000
ZDHHC12,-0.23,0.048083,0.589889
PKN3,0.02,0.788615,1.000000
SPTBN4,-0.50,0.808208,1.000000
BRSK1,-0.63,0.028468,0.416512
COX6B2,-1.93,0.185676,1.000000
TMEM190,-0.62,0.917250,1.000000
NLRP4,0.00,1.000000,1.000000
PLPP7,0.11,0.520605,1.000000
TAOK1,0.03,0.754302,1.000000
MED27,0.29,0.003068,0.077421
DEDD2,-0.27,0.005560,0.123982
SIK3,0.02,0.803677,1.000000
MPZL3,-0.31,0.071372,0.738423
JAML,-0.77,0.000119,0.004918
NEK8,0.07,0.576381,1.000000
TLCD1,-0.23,0.399908,1.000000
PCSK7,0.09,0.447171,1.000000
SAFB,0.06,0.502136,1.000000
CD3G,1.42,0.811739,1.000000
S100A1,-0.01,0.968762,1.000000
CHTOP,0.00,0.963771,1.000000
CXCR5,,,
ZBTB7B,0.05,0.415182,1.000000
FLAD1,0.01,0.935019,1.000000
SHC1,0.07,0.142009,1.000000
VPS11,0.09,0.102085,0.887637
NLRX1,-0.13,0.225489,1.000000
ADAR,0.13,0.046416,0.579663
IL6R,-0.03,0.730538,1.000000
UBE2Q1,0.13,0.011160,0.211652
CHRNB2,1.27,0.361267,1.000000
CRTC2,-0.01,0.912521,1.000000
ANO10,-0.23,0.002835,0.072784
FDPS,-0.06,0.383667,1.000000
RUSC1,0.12,0.091824,0.842354
GBAP1,0.23,0.200960,1.000000
FAM189B,-0.17,0.013990,0.250129
PAQR6,0.42,0.135177,1.000000
PMF1,-0.14,0.231211,1.000000
SLC25A44,0.28,0.000499,0.017244
LMNA,-0.45,0.000000,0.000000
CCR5,-0.51,0.099729,0.877416
NBEAL2,0.10,0.484239,1.000000
CCDC12,0.09,0.284317,1.000000
PTH1R,0.52,0.676605,1.000000
UBQLN4,-0.05,0.498866,1.000000
MYL3,0.55,0.546911,1.000000
PPP1R35,0.03,0.787147,1.000000
GPATCH4,0.16,0.171343,1.000000
LRRC71,1.34,0.207028,1.000000
FCRL3,,,
AZGP1,,,
FGFR4,-0.51,0.027822,0.410842
CYP3A4,-0.50,0.852815,1.000000
CYP3A7,0.81,0.891155,1.000000
NACC1,0.08,0.205709,1.000000
CYP11B1,,,
HK3,0.35,0.237739,1.000000
LY6K,-0.62,0.917250,1.000000
IER2,-0.61,0.000003,0.000157
ZNF394,0.07,0.285608,1.000000
CPSF4,0.09,0.307627,1.000000
LY6E,0.14,0.244915,1.000000
VPS28,-0.04,0.598111,1.000000
TONSL,-0.04,0.659822,1.000000
PTGER1,1.16,0.203331,1.000000
MUM1,-0.02,0.809422,1.000000
RECQL4,-0.04,0.595987,1.000000
LRRC14,0.05,0.622679,1.000000
ZNF333,-0.02,0.830089,1.000000
COL26A1,1.45,0.756534,1.000000
PPP1R16A,-0.02,0.860609,1.000000
FOXH1,-0.83,0.525418,1.000000
ORAI2,-0.05,0.512366,1.000000
ALKBH4,-0.02,0.882123,1.000000
CCDC105,,,
SH2B2,0.29,0.010901,0.207954
C5orf45,-0.10,0.572669,1.000000
SQSTM1,-0.03,0.621087,1.000000
MGAT4B,-0.34,0.000000,0.000003
RPL8,0.06,0.406203,1.000000
MAML1,0.22,0.004739,0.109297
PGLYRP2,0.00,1.000000,1.000000
LRWD1,-0.11,0.269484,1.000000
FBXL13,0.06,0.919830,1.000000
NAPEPLD,-0.05,0.585285,1.000000
SCGB3A1,-0.62,0.917250,1.000000
PSMC2,0.04,0.746479,1.000000
CELF5,0.82,0.534802,1.000000
MFSD12,0.32,0.000002,0.000141
AC008132.13,,,
XXbac-B444P24.10,0.58,0.276468,1.000000
USP41,0.16,0.752571,1.000000
TUBA3FP,0.43,0.811175,1.000000
YDJC,-0.02,0.835737,1.000000
CCDC116,-0.56,0.335001,1.000000
DVL3,0.12,0.051659,0.616228
AP2M1,0.05,0.320444,1.000000
ABCF3,0.31,0.000029,0.001382
PCYT1A,0.06,0.383951,1.000000
FBXO27,-0.34,0.369678,1.000000
DMKN,0.00,1.000000,1.000000
U2AF1L4,-0.03,0.859914,1.000000
BDH1,0.19,0.011385,0.214385
NPHS1,0.00,1.000000,1.000000
THAP8,0.01,0.943866,1.000000
COX7A1,1.72,0.548420,1.000000
ZNF382,0.47,0.011016,0.209598
LRRC56,-0.61,0.016795,0.287403
PLXDC1,1.16,0.000666,0.022253
PGAP3,-0.19,0.061164,0.680895
IKZF3,-0.13,0.527672,1.000000
GRIN2C,-0.46,0.494841,1.000000
FDXR,0.09,0.518863,1.000000
SAP30BP,0.04,0.456230,1.000000
ACOX1,0.02,0.765919,1.000000
PRPSAP1,0.17,0.169144,1.000000
CYGB,0.54,0.473637,1.000000
SRSF2,-0.04,0.548038,1.000000
ZNF577,-0.12,0.478277,1.000000
TMEM143,-0.04,0.749545,1.000000
KLHL10,0.62,0.435540,1.000000
CCDC155,0.24,0.628115,1.000000
HCRT,0.11,0.983122,1.000000
ALDH16A1,-0.02,0.764159,1.000000
DCD,,,
ITGA5,0.00,0.959973,1.000000
SIGLEC11,1.21,0.394892,1.000000
ZNF385A,-0.18,0.018789,0.311579
SIGLEC16,1.24,0.032200,0.455732
MPP3,-0.37,0.007401,0.155516
CD300LG,-0.43,0.539113,1.000000
IZUMO2,0.38,0.679564,1.000000
NAGS,0.28,0.737070,1.000000
LSM12,-0.04,0.715108,1.000000
ASB16,0.20,0.570505,1.000000
EMC10,-0.04,0.604047,1.000000
JOSD2,-0.18,0.127748,0.983206
SHANK1,-1.09,0.000000,0.000000
FAM171A2,0.59,0.007264,0.153311
DBF4B,0.07,0.398205,1.000000
PLCD3,-0.07,0.707675,1.000000
FMNL3,0.33,0.000734,0.024228
AQP5,-1.75,0.768349,1.000000
RACGAP1,0.06,0.306203,1.000000
OR7G1,,,
LARP4,0.05,0.560157,1.000000
GRASP,-0.86,0.019709,0.321443
RAVER1,0.08,0.363997,1.000000
KRT84,,,
KRT82,,,
SYCE2,-0.55,0.075050,0.756714
SPC24,-0.15,0.053634,0.630567
IP6K3,1.28,0.000000,0.000017
LEMD2,0.13,0.019999,0.325183
ALOX15,-0.72,0.255975,1.000000
TREML1,1.88,0.112653,0.931931
ADCY10P1,-0.01,0.978481,1.000000
ZNF653,0.20,0.270919,1.000000
MED11,-0.02,0.907338,1.000000
CXCL16,0.02,0.959568,1.000000
SCIMP,0.68,0.015071,0.264704
RNASEK-C17orf49,-0.62,0.917250,1.000000
BCL6B,-0.10,0.918965,1.000000
ASGR2,0.35,0.216940,1.000000
TNFSF13,-0.17,0.588376,1.000000
SENP3,-0.12,0.354344,1.000000
FGF11,1.34,0.347086,1.000000
EIF4A1,0.01,0.961735,1.000000
RPL26,0.08,0.661966,1.000000
CCDC42,0.00,1.000000,1.000000
POLR3K,0.08,0.456002,1.000000
SNRNP25,0.13,0.225358,1.000000
PRR35,,,
WDR90,-0.26,0.086340,0.815550
JMJD8,-0.01,0.929285,1.000000
CCDC78,0.16,0.324445,1.000000
MSLNL,0.07,0.989052,1.000000
SSTR5,0.00,1.000000,1.000000
SPSB3,1.06,0.067231,0.717097
MEIOB,0.07,0.384225,1.000000
HS3ST6,0.00,1.000000,1.000000
C16orf59,0.03,0.781921,1.000000
CCNF,-0.07,0.498459,1.000000
TBC1D24,-0.02,0.766533,1.000000
AMDHD2,0.33,0.330681,1.000000
NTN3,-1.20,0.155273,1.000000
BICDL2,-1.24,0.549134,1.000000
PAQR4,-0.19,0.047104,0.584620
